"iteration","EV_Hits","EV_Hits_Slope","EV_FA","EV_FA_Slope","EV_Ap","EV_Ap_Slope","EV_Bp","EV_Bp_Slope","n"
1,0.887805809483275,0.243625388995213,0.716747418630503,0.375981666377528,0.785702596042458,0.287124988048923,0.731422281994213,0.294602813339683,226
2,0.864866311473391,0.0734364829881565,0.706490630022231,0.0645786069090041,0.805618510874709,0.147698290463453,0.737238348688392,0.183888865147927,226
3,0.892864664112469,0.194551460782085,0.737165986958748,0.259435071778563,0.782772684082368,0.255505896042374,0.748942124588801,0.137420374428575,226
4,0.895253718257422,0.063315074967128,0.758746387375781,0.234800039790857,0.81932722662089,0.187317391614528,0.792039170219966,0.0497292635499588,226
5,0.886645322730763,0.209989694240443,0.771719019242199,0.195369570189939,0.791002413182471,0.322005105441283,0.779840680319828,-0.0193972979379886,226
6,0.858420098445641,0.258980991888347,0.741323496199195,0.334942661619063,0.781571615525178,0.198894643930763,0.744625120242353,0.303210430589537,226
7,0.859766803491105,0.181511569035842,0.760893900638397,0.293617867697903,0.772087102550603,0.26988288995397,0.801917174376496,0.0714490151890206,226
8,0.854088063463227,0.0826927140123384,0.750870863856179,0.379729299075772,0.757664228595939,0.243693283225387,0.758311977986783,0.0244145226533215,226
9,0.893026119525404,0.188408938939498,0.761963396164866,0.34101360217566,0.788232816861441,0.121467423350776,0.797311480266296,0.252051610867567,226
10,0.874130609684176,0.0847808043698415,0.782705013653772,0.34419801767008,0.749411118430043,0.163430506609104,0.785915905296669,0.0911434124138267,226
