"iteration","IDz_RT","IDzSame_RT","IDzOpposite_RT","n"
1,-0.00509713886022258,-0.113408258010235,0.0726286467001896,204
2,0.125771578960215,-0.0842123915820442,0.186766647914741,204
3,0.122885744617611,-0.0594962182117714,0.142645996987219,204
4,0.0995021424107838,-0.130491712275024,0.164397404329537,204
5,0.187303567861607,0.0398799969306014,0.20894012695301,204
6,0.132107806581337,-0.081533883946623,0.363318829798812,204
7,0.150593991319335,-0.0705216793253876,0.162237697529757,204
8,0.122961652329847,-0.0983500721933594,0.189605453485419,204
9,0.143118335709902,0.0405786962735055,0.127930438098239,204
10,0.108644686896238,0.00185021038305258,0.0373367688728987,204
