"Subject","AV_Mean_B1","AV_Mean_B2","AV_Mean_B3","AV_Mean_B4","AV_Mean_B5","AV_Mean_B6","AV_SD_B1","AV_SD_B2","AV_SD_B3","AV_SD_B4","AV_SD_B5","AV_SD_B6","AV_Lapses_B1","AV_Lapses_B2","AV_Lapses_B3","AV_Lapses_B4","AV_Lapses_B5","AV_Lapses_B6"
101,474.5,495.4375,561.6875,512.125,539.5625,504,31.7574138325735,51.8060083388018,77.0244279433479,83.6802445821792,58.4875699044962,90.5935980078063,0,0.0625,0.375,0.0625,0.1875,0.125
102,523.375,618.8125,534.0625,495.5625,634.8125,580.25,124.46251108935,195.623863148986,216.824497001607,126.508481270361,195.970140157457,120.327054314481,0.1875,0.375,0.25,0.1875,0.375,0.3125
103,457.375,485.6875,493.1875,519.8125,506.5,493.3125,75.5997134033368,122.11509256981,60.1256670094672,160.478957602962,131.576086986453,77.2361907829915,0,0.0625,0,0.1875,0.0625,0.0625
104,487.0625,536.5625,520,519.25,631.8125,567.75,56.6868223958032,41.4406704418095,52.3933838062275,51.5137522091593,161.546781150229,95.4208223258075,0,0,0.0625,0.0625,0.375,0.125
105,531.375,522.375,535.3125,555.9375,611.5625,608.1875,89.6882563847315,72.0045137474034,95.1509108381698,81.1208717490963,174.114509734255,104.340608106336,0.1875,0.1875,0.1875,0.375,0.375,0.5625
107,500.25,513.125,530.25,518.5,512.8125,560.0625,24.6184212870498,53.6940406376723,60.2743726636785,73.5599528729231,72.2866688954471,101.382094901746,0,0.0625,0.1875,0.1875,0.125,0.25
108,458.8125,489.0625,474.3125,467.6875,441.1875,481.125,79.4742882950203,60.0060760812325,57.0680514824188,52.7455764337952,28.1122007913527,68.7263898853029,0,0.0625,0,0,0,0.0625
109,395.625,384.1875,397,386.5625,430.5,500.4375,67.4278626879621,83.8206169944682,70.0057140524972,109.740280511154,65.564217883436,133.026297525464,0,0,0,0.0625,0,0.0625
110,531,578.0625,560.625,564.4375,533.375,721.875,286.090894647138,178.26103285164,146.177004575503,122.672446648246,65.556972677715,237.84557314919,0.375,0.3125,0.25,0.375,0.125,0.6875
112,444.8125,457.25,387.1875,443.1875,433.25,438.9375,56.7817092028762,73.7947604282761,87.1299556218564,75.9896648674454,57.3439912574398,58.5052348085195,0,0,0,0,0,0
