"Subject","EV_Hits_B1","EV_Hits_B2","EV_Hits_B3","EV_Hits_B4","EV_Hits_B5","EV_Hits_B6","EV_FA_B1","EV_FA_B2","EV_FA_B3","EV_FA_B4","EV_FA_B5","EV_FA_B6","EV_Ap_B1","EV_Ap_B2","EV_Ap_B3","EV_Ap_B4","EV_Ap_B5","EV_Ap_B6","EV_Bp_B1","EV_Bp_B2","EV_Bp_B3","EV_Bp_B4","EV_Bp_B5","EV_Bp_B6"
101,62.5,31.25,68.75,56.25,25,56.25,0,0,0,5.55555555555556,5.26315789473684,0,0.90625,0.828125,0.921875,0.859499818445897,0.749451754385965,0.890625,1,1,1,0.648522048134389,0.579868708971554,1
102,37.5,31.25,31.25,0,12.5,0,0,0,7.14285714285714,0,0,0,0.84375,0.828125,0.757760989010989,0.5,0.78125,0.5,1,1,0.528210944145166,1,1,1
103,62.5,31.25,25,56.25,31.25,43.75,0,0,0,0,0,5,0.90625,0.828125,0.8125,0.890625,0.828125,0.823402255639098,1,1,1,1,1,0.676423629590208
104,81.25,81.25,81.25,87.5,93.75,75,8.69565217391304,0,0,0,14.2857142857143,0,0.921904861442905,0.953125,0.953125,0.96875,0.943675595238095,0.9375,0.314788261160501,1,1,1,-0.352708058124174,1
105,93.75,81.25,81.25,93.75,87.5,93.75,15,16.6666666666667,6.25,7.40740740740741,0,5,0.941617647058824,0.892467948717949,0.930769230769231,0.963371913580247,0.96875,0.970219298245614,-0.370277078085642,0.0461997019374069,0.444444444444444,-0.0785759427006531,1,0.104565537555228
107,87.5,81.25,81.25,87.5,87.5,75,5.26315789473684,0,0,9.09090909090909,0,5.55555555555556,0.951976294903927,0.953125,0.953125,0.939650974025974,0.96875,0.915305010893246,0.373742864908943,1,1,0.13920645595158,1,0.562700964630225
108,81.25,68.75,75,75,75,87.5,0,0,0,0,0,10,0.953125,0.921875,0.9375,0.9375,0.9375,0.936706349206349,1,1,1,1,1,0.0971786833855799
109,68.75,87.5,68.75,81.25,75,62.5,5.55555555555556,0,14.2857142857143,10.5263157894737,11.7647058823529,5.88235294117647,0.897077391562686,0.96875,0.856906114718615,0.915221630150036,0.889950980392157,0.876861213235294,0.60743279812376,1,0.273930512881116,0.235921520431901,0.287305122494432,0.61783914909498
110,100,87.5,87.5,43.75,87.5,100,3.84615384615385,16,5.55555555555556,5.55555555555556,17.6470588235294,19.047619047619,0.990384615384615,0.917083333333333,0.951038748832866,0.819356909430439,0.911633403361344,0.952380952380952,-1,-0.102656137832017,0.351609058402861,0.648522048134389,-0.141158989598811,-1
112,68.75,75,93.75,75,56.25,75,11.1111111111111,6.25,0,0,6.25,0,0.87170533459596,0.9125,0.984375,0.9375,0.855555555555556,0.9375,0.37013685991081,0.523809523809524,1,1,0.615384615384615,1
113,100,100,100,100,100,100,10.5263157894737,18.1818181818182,40,38.0952380952381,50,25,0.973684210526316,0.954545454545455,0.9,0.904761904761905,0.875,0.9375,-1,-1,-1,-1,-1,-1
121,93.75,87.5,100,87.5,87.5,81.25,5.55555555555556,0,13.6363636363636,0,0,13.0434782608696,0.968641067538126,0.96875,0.965909090909091,0.96875,0.96875,0.905959970735786,0.0551454624402953,1,-1,1,1,0.146453279986663
122,87.5,56.25,43.75,81.25,68.75,62.5,0,0,0,0,0,0,0.96875,0.890625,0.859375,0.953125,0.921875,0.90625,1,1,1,1,1,1
123,100,62.5,68.75,43.75,68.75,81.25,0,0,0,0,5.26315789473684,0,1,0.90625,0.921875,0.859375,0.898395966241361,0.953125,-1,1,1,1,0.623267792175939,1
124,93.75,93.75,93.75,93.75,75,75,6.66666666666667,0,0,0,4.34782608695652,5.55555555555556,0.965481150793651,0.984375,0.984375,0.984375,0.920166337285902,0.915305010893246,-0.030033050725679,1,1,1,0.636926250644662,0.562700964630225
125,81.25,50,31.25,50,50,62.5,5.26315789473684,0,5.26315789473684,0,4.76190476190476,0,0.934326501349528,0.875,0.776471125730994,0.875,0.844940476190476,0.90625,0.506822925028094,1,0.623267792175939,1,0.692898272552783,1
126,68.75,87.5,25,68.75,56.25,43.75,0,0,5.55555555555556,0,0,0,0.921875,0.96875,0.745915032679739,0.921875,0.890625,0.859375,1,1,0.562700964630225,1,1,1
127,100,100,87.5,93.75,100,93.75,10.5263157894737,4.76190476190476,4.76190476190476,4.76190476190476,0,0,0.973684210526316,0.988095238095238,0.953582057823129,0.970895337301587,1,0.984375,-1,-1,0.413785207236089,0.127396676608436,-1,1
128,81.25,75,62.5,68.75,68.75,75,10.5263157894737,0,0,6.66666666666667,0,0,0.915221630150036,0.9375,0.90625,0.892052218614719,0.921875,0.9375,0.235921520431901,1,1,0.550849050692399,1,1
129,50,56.25,68.75,62.5,43.75,56.25,15,14.2857142857143,9.52380952380952,13.0434782608696,0,0,0.777941176470588,0.80890376984127,0.879019281157439,0.840013586956522,0.859375,0.890625,0.324503311258278,0.335496430889033,0.427478445104905,0.347770700636943,1,1
