"iteration","EV_Hits","EV_Hits_Slope","EV_FA","EV_FA_Slope","EV_Ap","EV_Ap_Slope","EV_Bp","EV_Bp_Slope","n"
1,0.887805809483275,0.243625388995213,0.716747418630503,0.375981666377528,0.785702596042458,0.287124988048923,0.731422281994213,0.294602813339683,226
2,0.864866311473391,0.0734364829881565,0.706490630022231,0.0645786069090041,0.805618510874709,0.147698290463453,0.737238348688392,0.183888865147927,226
3,0.892864664112469,0.194551460782085,0.737165986958748,0.259435071778563,0.782772684082368,0.255505896042374,0.748942124588801,0.137420374428575,226
4,0.895253718257422,0.063315074967128,0.758746387375781,0.234800039790857,0.81932722662089,0.187317391614528,0.792039170219966,0.0497292635499588,226
5,0.886645322730763,0.209989694240443,0.771719019242199,0.195369570189939,0.791002413182471,0.322005105441283,0.779840680319828,-0.0193972979379886,226
6,0.858420098445641,0.258980991888347,0.741323496199195,0.334942661619063,0.781571615525178,0.198894643930763,0.744625120242353,0.303210430589537,226
7,0.859766803491105,0.181511569035842,0.760893900638397,0.293617867697903,0.772087102550603,0.26988288995397,0.801917174376496,0.0714490151890206,226
8,0.854088063463227,0.0826927140123384,0.750870863856179,0.379729299075772,0.757664228595939,0.243693283225387,0.758311977986783,0.0244145226533215,226
9,0.893026119525404,0.188408938939498,0.761963396164866,0.34101360217566,0.788232816861441,0.121467423350776,0.797311480266296,0.252051610867567,226
10,0.874130609684176,0.0847808043698415,0.782705013653772,0.34419801767008,0.749411118430043,0.163430506609104,0.785915905296669,0.0911434124138267,226
11,0.904366877817239,0.249119011455452,0.718773916928928,0.286135829833681,0.825801185895355,0.295969776004492,0.650914995907318,0.181978809135477,226
12,0.845227794735133,0.0607650786023502,0.790658410333907,0.168053114755218,0.761657864888807,0.193603276358581,0.76625183681497,0.0406019322368161,226
13,0.869973701684524,0.282762737996294,0.775168629176991,0.138726128772447,0.731661340098012,0.315996397176577,0.772669688027723,0.131620520271601,226
14,0.896817001620224,0.31671737930757,0.766889234162677,0.219725441364729,0.809509885094433,0.362963906808187,0.746468223450677,0.344326676435698,226
15,0.876943593074427,0.337876962242811,0.789577967037946,0.260187190769397,0.817631128789407,0.327696476373247,0.802764570029863,0.188388911004905,226
16,0.886629989048601,0.0966435488375477,0.749931714325967,0.404418135319866,0.767515693487755,0.243127133786063,0.745482428053656,0.178822499629402,226
17,0.875708768363455,0.220914949416046,0.760563363615555,0.126311134128309,0.735122905359093,0.309931207477582,0.743404617593271,0.180709191023368,226
18,0.879855703181261,0.198818806624741,0.784898624777074,0.240930133438816,0.773018800987453,0.293503914698356,0.795268458648303,0.167669110552197,226
19,0.897286617500856,0.319443299510906,0.769439235622457,0.319065543804935,0.810493746056065,0.407485104552306,0.742654411591442,0.175585647428456,226
20,0.868164399348408,0.309428703534165,0.714197198587025,0.189985887138045,0.782050483073264,0.274137057560574,0.777679012892823,0.138104254059063,226
21,0.866478508311319,0.17861981378416,0.778288569944802,0.195074806842289,0.775917936796181,0.14967277742775,0.772627398476801,0.133058020954809,226
22,0.896466297970849,0.0963395281099348,0.774253722387627,0.276061079736005,0.799682824404778,0.218880162832472,0.7963576104834,0.0446132186057118,226
23,0.868768434315482,0.0615027586321517,0.648478411747693,0.107747023756421,0.728865438579565,0.0158971482970713,0.739368369143982,0.031195557229232,226
24,0.862783067806222,0.200411990116005,0.688689059699589,0.325481308551025,0.730434601480662,0.369051879752,0.716534139242966,0.0742692666471464,226
25,0.846811645325227,0.0799090631074376,0.704286331700141,0.303395280444176,0.706208810858868,0.313558972349714,0.743136280343404,0.0743509296774277,226
26,0.870080614165586,0.135102664956341,0.643005092019054,0.140600501407739,0.759829954442481,0.165661221952456,0.744259569267107,0.131000699049713,226
27,0.850838928119452,0.0708866900978577,0.689986405817986,0.272660721822378,0.752713925372839,0.112212207083664,0.704806965314641,0.111227721884572,226
28,0.879436662850701,0.106811271439333,0.737927320028542,0.261394308549168,0.758169632816115,0.166992805619941,0.6982701286565,0.189193775955715,226
29,0.890474826556826,0.136266604607897,0.726562116945824,0.33951599637908,0.803888146343174,0.253065051758259,0.701100144038495,0.114720495636647,226
